interaction_nr,position,user_id,text,extended_fulltext,label,diff_after_response
15,from tweet_id,133646193,"@KLM Ik ben al vanaf gisteren bezig! Twitter, whatsapp en net gebeld... de wachttijd is meer dan 30 minuten en de v… https://t.co/S26tNjulsw","@KLM Ik ben al vanaf gisteren bezig! Twitter, whatsapp en net gebeld... de wachttijd is meer dan 30 minuten en de verbinding word gewoon verbroken. Kan iemand ons gewoon helpen onze vluchten vanuit oslo van vanavond om te boeken naar morgen? Dan kan ik ook hotel regelen",-1.0,None
15,from response_id,56377143,@Michaeleman We snappen je frustratie echter hebben we momenteel te maken met zeer hoge volumes. We doen ons uiters… https://t.co/mzZS2NxYS9,@Michaeleman We snappen je frustratie echter hebben we momenteel te maken met zeer hoge volumes. We doen ons uiterste best om zoveel mogelijk passagiers te assisteren.  Wij zien dat wij je bericht via WhatsApp inmiddels hebben beantwoord.,None,None
15,from reaction_id,133646193,@KLM We hebben inmiddels online zelf de vluchten omgeboekt.,,-0.5,0.5
16,from tweet_id,16254349,@KLM zondag vlieg ik van Bazel naar Schiphol. Al enig idee of deze vluchten door gaan ivm de storm?,,0.0,None
16,from response_id,56377143,"@JoshuaL Hi Joshua, momenteel hebben we nog geen vluchten geannuleerd, maar via de vluchtverstoringenpagina (… https://t.co/2WX5ZNXoRY","@JoshuaL Hi Joshua, momenteel hebben we nog geen vluchten geannuleerd, maar via de vluchtverstoringenpagina (https://t.co/r5ESZUaelM), kun je meer informatie vinden over eventuele omboekingsmogelijkheden. Het is ook mogelijk de actuele vluchtstatus te bekijken via https://t.co/lcC290U2AT.",None,None
16,from reaction_id,16254349,@KLM Bedankt!,,1.0,1.0
17,from tweet_id,246155227,"@KLM altijd zeer happy met KLM, behalve nu 😩; en nergens een mogelijkheid voor hulp of klacht; ik licht graag toe ! Nemen jullie contact op?",,-1.0,None
17,from response_id,56377143,@CET13 Hoi Carina. Via onze site https://t.co/jDm2ROlhBF is het mogelijk een Customer Care dossier aan te maken.  A… https://t.co/l2LE4SUpRo,"@CET13 Hoi Carina. Via onze site https://t.co/jDm2ROlhBF is het mogelijk een Customer Care dossier aan te maken.  Als je hulp wilt betreffende een huidige boeking, stuur ons dan even een DM met je boekingscode en je verzoek! Dan kijken we gelijk even met je mee.",None,None
17,from reaction_id,246155227,@KLM En zonder boeking blijk ik ook geen klacht inte kunnen dienen,,-0.5,0.5
18,from tweet_id,1155123932,@KLM Dus ik kan helemaal niks met mijn gespaarde miles? ☹️ Ook niet 1 ticket kopen en bijbetalen?,,-0.5,None
18,from response_id,56377143,@USA_Blogs Zijn de data's een beetje flexible? Kunnen we kijken naar vluchten met een overstap?,,None,None
18,from reaction_id,1155123932,"@KLM Nee, dat wil ik niet. Ik heb vliegangst, dus wil rechtstreeks. Dus: Ik kan helemaal niks met mijn 45000 miles bij deze reis?",,-0.5,0.0
19,from tweet_id,1121871525416722432,"@PaulBlokhuis 
Wat vind u van KLM op dit moment? Op de website zeer weinig informatie beschikbaar over de situatie… https://t.co/TFw3nm18MV","@PaulBlokhuis 
Wat vind u van KLM op dit moment? Op de website zeer weinig informatie beschikbaar over de situatie in China. Terwijl er in de media volop bericht wordt dat men vluchten stop zet.
Deze bezorgde reiziger wilt zijn reis annuleren, maar KLM is wel heel stil
#klm @KLM",-1.0,None
19,from response_id,56377143,@BidenCrypto Op basis van huidige informatie is er geen reden om alle operaties naar China op te schorten. KLM heef… https://t.co/9rM8zXRfJB,@BidenCrypto Op basis van huidige informatie is er geen reden om alle operaties naar China op te schorten. KLM heeft wel het netwerk enigszins aangepast. Deze vlucht aanpassingen zijn van kracht tot en met 29 februari.  &gt;&gt;&gt;&gt;,None,None
19,from reaction_id,1121871525416722432,@KLM China gooit steeds meer populaire attracties dicht en annuleert nu zelf WK indoor atletiek en @KLM neemt het l… https://t.co/9cmXMp2nsg,"@KLM China gooit steeds meer populaire attracties dicht en annuleert nu zelf WK indoor atletiek en @KLM neemt het luchtig op. #hoezo #KLM 
Het lijkt er steeds meer op dat geld boven gezondheid gaat @dijkhoff",-1.0,0.0
20,from tweet_id,14218873,@KLM Hoe kan ik luchthavenbelasting terugvragen voor 2 tickets waar we geen gebruik van maken ivm griep kind? Via d… https://t.co/GxkO90D93r,"@KLM Hoe kan ik luchthavenbelasting terugvragen voor 2 tickets waar we geen gebruik van maken ivm griep kind? Via deze link zie ik alleen ticketrestitutie.  Heb overigens ook annuleringsverzekering, maakt dit nog uit?",0.0,None
20,from response_id,56377143,@daveleusink Hoi!  Beterschap! Je vluchten zullen automatisch worden geannuleerd wanneer je restitutie aanvraagt vi… https://t.co/1acjKM4SI1,@daveleusink Hoi!  Beterschap! Je vluchten zullen automatisch worden geannuleerd wanneer je restitutie aanvraagt via de volgende link: https://t.co/00w15i1Fxh.  De restitutie wordt bepaald aan de hand van de ticketvoorwaarden. Je ontvangt zo ook de luchthavenbelasting terug.,None,None
20,from reaction_id,14218873,@KLM Check. Maar welke reden moet ik aanvinken? https://t.co/kLiIs8dmTR,,0.5,0.5
21,from tweet_id,2356885065,Een mooi moment dit weekend toen een steward van @easyJet tijdens het welkomstpraatje door de microfoon vroeg waar… https://t.co/924RpF6as0,Een mooi moment dit weekend toen een steward van @easyJet tijdens het welkomstpraatje door de microfoon vroeg waar de vlucht waarin we zaten eigenlijk naartoe ging. Moest ik erg om lachen (en hijzelf ook trouwens) en kan ik wel waarderen. #easyjet 😂,0.0,None
21,from response_id,38676903,"@Xandertje1979 Goedemorgen Xander, leuk dat je met ons vliegt ✈. Altijd leuk een grapje tussendoor om de spanning e… https://t.co/evZeIMGrPS","@Xandertje1979 Goedemorgen Xander, leuk dat je met ons vliegt ✈. Altijd leuk een grapje tussendoor om de spanning ervan af te halen. Groeten Pedro 🐬",None,None
21,from reaction_id,2356885065,"@easyJet Nou hij was het daadwerkelijk even vergeten...prima trouwens, leuk moment.😉 Even andere vraag, klopt het d… https://t.co/rFCRK35RNR","@easyJet Nou hij was het daadwerkelijk even vergeten...prima trouwens, leuk moment.😉 Even andere vraag, klopt het dat de verbinding Amsterdam - Bordeaux gaat stoppen bij jullie?",0.5,0.5
22,from tweet_id,74988486,Wat is bij KLM aan de hand online inchecken werkt niet klantenservicelijn langer dan 30 min en reageren niet op Messengerberichten,,-0.5,None
22,from response_id,56377143,"@peterglsnews Hi Peter,  we helpen je graag met inchecken. Kun je je boekingscode, ticketnummer, stoelvoorkeur, vol… https://t.co/n4iGwyGm4N","@peterglsnews Hi Peter,  we helpen je graag met inchecken. Kun je je boekingscode, ticketnummer, stoelvoorkeur, volledige naam/namen en e-mailadres sturen in een DM? &gt;&gt;",None,None
22,from reaction_id,74988486,@KLM Bizar nog steeds werkt on-line check in niet en wachttijd klantenservice meer dan 30 minuten en dan wordt gesp… https://t.co/fRWk1042H9,@KLM Bizar nog steeds werkt on-line check in niet en wachttijd klantenservice meer dan 30 minuten en dan wordt gesprek afgesloten. Onbereikbaar zijn kan ECHT NIET anno 2020!!!,-1.0,-0.5
23,from tweet_id,949398134,@KLM ben spulletjes in het vliegtuig vergeten. Maar @klm reageert niet op klantenservice app. Willen jullie ajb reageren?,,-0.5,None
23,from response_id,56377143,"@femkedenhartog Hallo Femke, wat vervelend om te lezen dat je je spulletjes vergeten bent. Helaas konden we geen be… https://t.co/wkWO1pvuVP","@femkedenhartog Hallo Femke, wat vervelend om te lezen dat je je spulletjes vergeten bent. Helaas konden we geen bericht op jouw naam vinden. Als je ons een DM met je naam, e-mail adres, boekingscode, beschrijving van het voorwerp, vluchtnummer/datum en stoelnummer stuurt gaan we voor je kijken.",None,None
23,from reaction_id,949398134,@KLM Ik heb antwoord nu in de berichtenservice van twitter gezet en in de flying blue app. @ KLM willen jullie ajb antwoorden?,,-0.5,0.0
24,from tweet_id,246155227,"@KLM altijd zeer happy met KLM, behalve nu 😩; en nergens een mogelijkheid voor hulp of klacht; ik licht graag toe ! Nemen jullie contact op?",,-0.5,None
24,from response_id,56377143,@CET13 Hoi Carina. Via onze site https://t.co/jDm2ROlhBF is het mogelijk een Customer Care dossier aan te maken.  A… https://t.co/l2LE4SUpRo,"@CET13 Hoi Carina. Via onze site https://t.co/jDm2ROlhBF is het mogelijk een Customer Care dossier aan te maken.  Als je hulp wilt betreffende een huidige boeking, stuur ons dan even een DM met je boekingscode en je verzoek! Dan kijken we gelijk even met je mee.",None,None
24,from reaction_id,246155227,@KLM Ik wil graag positief kritisch blijven; zou fijn zijn als er even echt contact is,,-0.5,0.0
25,from tweet_id,379093082,@KLM vlucht kl836 op 19-03-2020 is geannuleerd. Hoe komen we nu thuis??,,0.0,None
25,from response_id,56377143,"@Peccola2001 Wat vervelend om te horen. We kijken graag naar de mogelijkheden. Kun je ons je volledige naam, boekin… https://t.co/ruDm2eY6y7","@Peccola2001 Wat vervelend om te horen. We kijken graag naar de mogelijkheden. Kun je ons je volledige naam, boekingscode, ticketnummer en e-mailadres sturen via DM?",None,None
25,from reaction_id,379093082,@KLM We handelen het verder af met het reisbureau. Dank voor de reactie en heel veel sterkte!,,1.0,1.0
26,from tweet_id,1018480419753390081,"Beste @KLM Ik snap dat jullie druk zijn, maar ik zou graag horen of mijn vlucht naar VS morgen vertrekt of dat ik d… https://t.co/LzYcWNkHtW","Beste @KLM Ik snap dat jullie druk zijn, maar ik zou graag horen of mijn vlucht naar VS morgen vertrekt of dat ik deze kan wijzigen. Heb DM gestuurd",0.0,None
26,from response_id,56377143,"@AnneliesMesman Hallo Annelies, we begrijpen dat je graag snel een reactie wilt echter hebben wij momenteel te make… https://t.co/OVKPzOMrKu","@AnneliesMesman Hallo Annelies, we begrijpen dat je graag snel een reactie wilt echter hebben wij momenteel te maken met extreem hoge volumes. De wachttijd is hierdoor een stuk langer dan gebruikelijk. We proberen al onze passagiers zo spoedig mogelijk te woord te staan.",None,None
26,from reaction_id,1018480419753390081,"@KLM Snel lukt niet meer, probeer jullie al 8 uur te bereiken, maar ik wacht t af. Succes!",,-1.0,-1.0
27,from tweet_id,1235610656746934278,@KLM Fijn dat dat mag/kan. Maar geen antwoord en telefonisch kom ik er niet door..,,-0.5,None
27,from response_id,56377143,"@DinetKoopman We zien geen DM van je staan, Dinet.",,None,None
27,from reaction_id,1235610656746934278,@KLM Op advies gemaild,,0.0,0.5
28,from tweet_id,458268391,"Zoek me wild naar hoe in te loggen op de website van @KLM Contrast aan of uit is top, maar vroeger kon je gewoon inloggen op die plek 🤷🏼‍♂️",,-0.5,None
28,from response_id,56377143,"@tib1969 Hallo! Bedankt voor je berichtje. Als wij naar de website gaan zien we naast contrast, land selectie, het… https://t.co/8LDWtNCXKB","@tib1969 Hallo! Bedankt voor je berichtje. Als wij naar de website gaan zien we naast contrast, land selectie, het Facebook logo en inschrijven, een poppetje staan met inloggen ernaast. Kun je ons een DM sturen, dan zullen we even met je meekijken.",None,None
28,from reaction_id,209735477,@KLM @tib1969 Ik kan het ook niet meer vinden https://t.co/Xw7XBnQ5h2,,-0.5,0.0
31,from tweet_id,146872603,Waarom krijg ik geen like van @KLM op Instagram? 😢😢💙✈️. Volgens mijn ik heb prachtige zwaan van KLM gefotografeerd… https://t.co/ppGLt9QPpA,Waarom krijg ik geen like van @KLM op Instagram? 😢😢💙✈️. Volgens mijn ik heb prachtige zwaan van KLM gefotografeerd in Stockholm! Ik ben benieuwd naar welke prachtige zwaan van KLM brengt ons naar Barcelona?! Nog 20 dagen wachten tot Barcelona! Super dat tijd vliegt zo! https://t.co/ni1jGkZGo6,0.0,None
31,from response_id,56377143,@AnastasiaSivach Dat is een hele mooie foto! ✈✨ Wij zijn ook benieuwd naar je reis. Spannend! 🤭,,None,None
31,from reaction_id,146872603,@KLM Ik wilde misschien morgenavond-vrijdagmiddag in DM wat vragen over Mijn Reis als mag?!,,0.0,0.0
32,from tweet_id,179967365,"@KLM Nee, ik bedoel dat je duidelijk laat zien of uitlegt dat als je niet voor beide passagiers bagage wil dat dat… https://t.co/RBwiSGSlTR","@KLM Nee, ik bedoel dat je duidelijk laat zien of uitlegt dat als je niet voor beide passagiers bagage wil dat dat later ook nog kan. Ik heb nu bijvoorbeeld afzonderlijk voor twee personen geboekt omdat ik dat niet wist. Het is nu gewoon een vervelend salestrucje.",-0.5,None
32,from response_id,56377143,"@Dasjedeijs Het is zeker geen salestrucje, we willen zo transparant mogelijk zijn naar onze passagiers. Vervelend d… https://t.co/9Uf1HOM8T3","@Dasjedeijs Het is zeker geen salestrucje, we willen zo transparant mogelijk zijn naar onze passagiers. Vervelend dat het zo aanvoelt. Mocht er in het vervolg iets niet duidelijk zijn, kan je altijd contact met ons opnemen, we assisteren je graag.",None,None
32,from reaction_id,179967365,@KLM Ik heb al feedback gegeven: zorg ervoor dat je tijdens het boekingsproces voor afzonderlijke passagiers ook af… https://t.co/VSnlaJkm4G,@KLM Ik heb al feedback gegeven: zorg ervoor dat je tijdens het boekingsproces voor afzonderlijke passagiers ook afzonderlijk kan kiezen of je bagage wil bijboeken. Succes met de tip intern doorgeven en werkelijkheid te laten worden.,-0.5,0.0
33,from tweet_id,515823923,"@KLM Nee, nog lang niet compleet! Vlucht was Koeweit Amsterdam (aankomst vanochtend)",,-0.5,None
33,from response_id,56377143,@althurkow Dan heb je nog genoeg om voor te sparen in ieder geval 😉. We hebben het nagevraagd en kunnen je informer… https://t.co/mAW0MF4S3C,@althurkow Dan heb je nog genoeg om voor te sparen in ieder geval 😉. We hebben het nagevraagd en kunnen je informeren dat het wegens lokale importregels niet mogelijk is Delft huisjes met alcohol aan te bieden bij vertrek vanuit Koeweit.,None,None
33,from reaction_id,515823923,"@KLM Dank voor het antwoord.
Ze worden overigens aan het einde van de vlucht uitgereikt, maar misschien mogen ze ge… https://t.co/WkPkFtWH5y","@KLM Dank voor het antwoord.
Ze worden overigens aan het einde van de vlucht uitgereikt, maar misschien mogen ze gewoon niet aan boord zijn zolang het toestel op (in dit geval) Koeweit bodem staat?",0.0,0.5
34,from tweet_id,434582376,"@KLM Ik vlieg met delta morgen, maar moet via KLM inchecken. Daar was geeen boardingpass (digitaal) aanwezig en bij… https://t.co/vQza1Wu5bN","@KLM Ik vlieg met delta morgen, maar moet via KLM inchecken. Daar was geeen boardingpass (digitaal) aanwezig en bij Delta ook niet. Dus bij welke maatschappij moet ik zijn voor een digitale boardingpass? Stoel heb ik gereserveerd en betaald via klm",0.0,None
34,from response_id,56377143,"@MrJurjen Als de digitale instapkaart niet wordt aangeboden, dan moet je je instapkaart printen via Mijn Reis of an… https://t.co/JXHyZaLag1","@MrJurjen Als de digitale instapkaart niet wordt aangeboden, dan moet je je instapkaart printen via Mijn Reis of anders bij onze collega's aan de balie. Ook kun je via Mijn Reis kijken of je de digitale boarding pas naar jezelf toe kan sturen (voor ons is dit helaas niet mogelijk).",None,None
34,from reaction_id,434582376,@KLM Oké dank je wel :) fijne avond,,1.0,1.0
36,from tweet_id,112478758,@KLM vriendin boardde net KL601 naar LAX. Bij gate werden Aziatisch uitziende en enkele andere niet-witte passagier… https://t.co/unZLIgS89o,@KLM vriendin boardde net KL601 naar LAX. Bij gate werden Aziatisch uitziende en enkele andere niet-witte passagiers (incl vriendin) door @Delta personeel (codeshare) extra ondervraagd en paspoort gecheckt om te checken op China-visa. 1/3,-0.5,None
36,from response_id,56377143,@luuc1 Dit is conform instructies van Amerikaanse autoriteiten. Hierin wordt geen onderscheid gemaakt. Alle passagiers worden gecheckt. 2/2,,None,None
36,from reaction_id,112478758,@KLM Dank voor uitleg. Mijn vriendin was vroeg bij gate en herkent zich niet in de uitleg. heeft ook niet gezien da… https://t.co/viqKEPPbsN,@KLM Dank voor uitleg. Mijn vriendin was vroeg bij gate en herkent zich niet in de uitleg. heeft ook niet gezien dat evt eerder gecheckte passagiers apart gehouden werden. Het lijkt discriminatie op etniciteit. Mogelijk dat jullie gatemedewerkers jullie beleid niet goed uitvoeren? 1/,-0.5,0.0
37,from tweet_id,407214834,"@KLM Kan KLM mijn vlucht wijzigen naar 21 or 22 maart ipv 26 maart? Ik krijg geen antwoord van KLM via Whatsapp, Me… https://t.co/1a5UHyPCCb","@KLM Kan KLM mijn vlucht wijzigen naar 21 or 22 maart ipv 26 maart? Ik krijg geen antwoord van KLM via Whatsapp, Messenger of per telefoon. Kunt u met mij contact opnemen via Twitter of per e-mail zodat ik veilig en eerder naar Nederland kan terug vliegen vanuit Japan. Dank🙏🏼",0.0,None
37,from response_id,56377143,@iefkem Kan je ons de boekingscode toesturen? Dan gaan we even met je mee kijken.,,None,None
37,from reaction_id,407214834,@KLM JEYC8M is boekingscode als direct vliegen ook kan dan heel graag 🙏🏼,,0.0,0.0
38,from tweet_id,1923611923,@KLM Ik heb zojuist een DM gestuurd met de info,,0.0,None
38,from response_id,56377143,@BartGroot_91 We hebben jullie beide zojuist ingecheckt via Social Media. We hebben jullie geplaatst op stoelen 34F… https://t.co/vtILX8ySTP,@BartGroot_91 We hebben jullie beide zojuist ingecheckt via Social Media. We hebben jullie geplaatst op stoelen 34F en 34G. Je kunt de instapkaarten naar jezelf sturen via Mijn Reis: https://t.co/lQ2Gp2Emvx. Alvast een fijne reis gewenst!,None,None
38,from reaction_id,1923611923,@KLM Dank voor het regelen. Bedankt!👍🏻,,1.0,1.0
39,from tweet_id,1027213827023224832,@AeAkkerman @john_smael @247BZ @flymepegasus @TurkishAirlines Mijn man gaat ook Dinsdag terug met KLM vanaf Istanbu… https://t.co/vxfxh8ZfDt,@AeAkkerman @john_smael @247BZ @flymepegasus @TurkishAirlines Mijn man gaat ook Dinsdag terug met KLM vanaf Istanbul. Krijg KLM maar niet te pakken. De vlucht van vandaag staat als geannuleerd....,-0.5,None
39,from response_id,56377143,@Gider28221296 Hoi Gider! Zou je ons een DM kunnen sturen? We helpen je graag verder.,,None,None
